TRADEDATE,consumer,metals_mining,oil_gas,consumer_log_return,metals_mining_log_return,oil_gas_log_return
2013-11-05,6144.19,2189.49,3528.31,0.012700361688267492,0.004765870618519408,-0.00553405781946914
2013-11-06,6097.08,2176.4,3517.72,-0.007696951799639251,-0.0059965043664549356,-0.003005950293722748
2013-11-07,6090.26,2205.61,3528.91,-0.0011191942970150137,0.013331979001212524,0.0031759889212406023
2013-11-08,6055.32,2170.31,3479.81,-0.005753549255910428,-0.01613410013873029,-0.014011346797856206
2013-11-11,6053.77,2166.82,3461.16,-2.560060266247888e-4,-0.0016093595318888987,-0.005373901596598785
2013-11-12,6019.93,2158.53,3502.11,-0.005605587121047861,-0.0038332205027620248,0.01176185099473237
2013-11-13,5938.77,2053.15,3443.3,-0.013573590120765644,-0.05005223528063851,-0.01693533011838788
2013-11-14,6017.8,2091.24,3492.35,0.013219702797783839,0.018381992301587324,0.014144548175361038
2013-11-15,5995.63,2104.13,3479.86,-0.003690873492024238,0.006144888560550399,-0.003582798957749489
2013-11-18,6030.53,2139.05,3504.84,0.005804030209525024,0.016459725197173647,0.00715280727976797
2013-11-19,6085.72,2162.01,3505.11,0.009110142446038694,0.010676539317083567,7.703335976216863e-5
2013-11-20,6094.17,2182.23,3502.19,0.0013875332791499773,0.009308945185313888,-8.334166280921096e-4
2013-11-21,6048.42,2160.83,3480.84,-0.007535495555334393,-0.009854882591883829,-0.0061148431340907194
2013-11-22,6081.52,2158.75,3508.01,0.0054575838227606255,-9.630566679001973e-4,0.007775281163583614
2013-11-25,6119.41,2177.95,3491.72,0.006211021914911186,0.008854716927366724,-0.004654473646565904
2013-11-26,6175.22,2153.25,3452.81,0.00907882276156613,-0.011405738718972103,-0.011206059208776153
2013-11-27,6165.12,2154.62,3422.58,-0.0016369082626930265,6.360452131506378e-4,-0.00879373964431096
2013-11-28,6221.26,2170.95,3432.72,0.009064857436280604,0.007550485869289858,0.0029582971992585527
2013-11-29,6170,2173.34,3425.91,-0.008273620666050974,0.0011002949808238682,-0.001985819978020942
2013-12-02,6207.58,2158.05,3409.4,0.006072288035767315,-0.007060118581395436,-0.004830807119908798
2013-12-03,6141.6,2118.76,3354.76,-0.010685831421511693,-0.01837402426951762,-0.01615608989214934
2013-12-04,6042.34,2110.67,3352.16,-0.016293940392959172,-0.003825579270239743,-7.753186649743782e-4
2013-12-05,6120.89,2118.37,3319.51,0.012916156649076527,0.0036414923995975457,-0.00978773250314191
2013-12-06,6205.04,2137.66,3354.1,0.013654354262305546,0.00906484779968686,0.010366296428227173
2013-12-09,6261.67,2141.03,3406.03,0.009085057647338246,0.0015752488246931762,0.015363912084964682
2013-12-10,6243.66,2145.17,3407.39,-0.0028803738008900126,0.001931781665560628,3.9921214839466757e-4
2013-12-11,6234.4,2129.38,3397.2,-0.0014842053492092333,-0.00738794578161972,-0.0029950394122923996
2013-12-12,6228.14,2104.87,3368.27,-0.0010046107015888595,-0.011577150029632222,-0.008552303485995338
2013-12-13,6212.19,2115.44,3373.27,-0.0025642420642739694,0.0050091211788894086,0.0014833408736851794
2013-12-16,6211.22,2149.57,3415.72,-1.5615680428560097e-4,0.016004993450471794,0.012505705042306303
2013-12-17,6175.26,2157.15,3437.81,-0.005806347086268815,0.003520083881456415,0.006446335391023794
2013-12-18,6218.18,2198.24,3458.42,0.0069262725416336934,0.018869134175139912,0.005977196630876591
2013-12-19,6223.05,2221.25,3478.32,7.828808323182557e-4,0.010413060293222642,0.005737581224620314
